host mmap_min_addr=0x10000
Reserved 0x2c5000 bytes of guest address space
Relocating guest address space from 0x0000000000400000 to 0x400000
guest_base  0x0
start            end              size             prot
0000000000400000-00000000004c0000 00000000000c0000 r-x
00000000006bf000-00000000006c5000 0000000000006000 rw-
0000004000000000-0000004000001000 0000000000001000 ---
0000004000001000-0000004000801000 0000000000800000 rw-
start_brk   0x0000000000000000
end_code    0x00000000004bf629
start_code  0x0000000000400000
start_data  0x00000000006bfea0
end_data    0x00000000006c1c30
start_stack 0x00000040007ffe00
brk         0x00000000006c41c8
Trace 0x560def957b80 [000000000041986a] 
Trace 0x560def957c50 [000000000041987d] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def957d50 [0000000000407776] 
Trace 0x560def957de0 [0000000000407784] 
Trace 0x560def957e70 [00000000004077d0] 
Trace 0x560def957f20 [00000000004077fd] 
Trace 0x560def957fb0 [00000000004077f0] 
Trace 0x560def957f20 [00000000004077fd] 
Trace 0x560def958050 [00000000004077b6] 
Trace 0x560def958120 [0000000000437d7e] 
Trace 0x560def9581f0 [0000000000438206] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def958250 [0000000000438215] 
Trace 0x560def9582a0 [0000000000462430] 
Trace 0x560def9583a0 [0000000000466840] 
Trace 0x560def958510 [00000000004668bd] 
Trace 0x560def9585a0 [00000000004669a5] 
Trace 0x560def958610 [000000000045ef80] 
Trace 0x560def958660 [000000000045ef87] 
Trace 0x560def9586f0 [0000000000438b90] 
Trace 0x560def958770 [00000000004669b6] 
Trace 0x560def9587f0 [00000000004669f2] 
Trace 0x560def9588a0 [0000000000466e92] 
Trace 0x560def958900 [0000000000466ab0] 
Trace 0x560def958980 [0000000000466b00] 
Trace 0x560def958a10 [0000000000466f3d] 
Trace 0x560def958a60 [0000000000466b27] 
Trace 0x560def958b10 [0000000000466b42] 
Trace 0x560def958ba0 [0000000000466ebb] 
Trace 0x560def953b90 [0000000000414a20] 
Trace 0x560def954a20 [00000000004128d0] 
Trace 0x560def958c20 [0000000000412917] 
Trace 0x560def954c00 [0000000000412989] 
Trace 0x560def958cf0 [0000000000412a46] 
Trace 0x560def955520 [0000000000412b1e] 
Trace 0x560def958f40 [0000000000413458] 
Trace 0x560def958ff0 [00000000004129e1] 
Trace 0x560def956de0 [00000000004129f3] 
Trace 0x560def956eb0 [0000000000414a7d] 
Trace 0x560def959080 [0000000000466ed9] 
Trace 0x560def959100 [0000000000466ee5] 
Trace 0x560def957380 [000000000041c7f0] 
Trace 0x560def9591d0 [000000000041c840] 
Trace 0x560def9577e0 [000000000041c86b] 
Trace 0x560def959260 [0000000000466f16] 
Trace 0x560def9592e0 [00000000004669e3] 
Trace 0x560def959390 [0000000000462461] 
Trace 0x560def953b90 [0000000000414a20] 
Trace 0x560def954a20 [00000000004128d0] 
Trace 0x560def958f40 [0000000000413458] 
Trace 0x560def958ff0 [00000000004129e1] 
Trace 0x560def956eb0 [0000000000414a7d] 
Trace 0x560def9593f0 [0000000000462472] 
Trace 0x560def959480 [0000000000462485] 
Trace 0x560def953b90 [0000000000414a20] 
Trace 0x560def954a20 [00000000004128d0] 
Trace 0x560def959560 [0000000000412a08] 
Trace 0x560def9595f0 [0000000000412a19] 
Trace 0x560def959680 [0000000000412a2a] 
Trace 0x560def958cf0 [0000000000412a46] 
Trace 0x560def959730 [0000000000412f6f] 
Trace 0x560def955650 [0000000000412dbc] 
Trace 0x560def955b90 [0000000000412e50] 
Trace 0x560def958f40 [0000000000413458] 
Trace 0x560def958ff0 [00000000004129e1] 
Trace 0x560def956eb0 [0000000000414a7d] 
Trace 0x560def9597e0 [00000000004624c3] 
Trace 0x560def959880 [00000000004624d4] 
Trace 0x560def9599a0 [0000000000462532] 
Trace 0x560def959a50 [000000000041c6f0] 
Trace 0x560def959b50 [000000000041c70e] 
Trace 0x560def959be0 [000000000041c7b2] 
Trace 0x560def959c70 [000000000041c7de] 
Trace 0x560def959cd0 [000000000046254d] 
Trace 0x560def959d80 [000000000046255f] 
Trace 0x560def959eb0 [00000000004625a2] 
Trace 0x560def9599a0 [0000000000462532] 
Trace 0x560def959a50 [000000000041c6f0] 
Trace 0x560def959cd0 [000000000046254d] 
Trace 0x560def959a50 [000000000041c6f0] 
Trace 0x560def959cd0 [000000000046254d] 
Trace 0x560def959a50 [000000000041c6f0] 
Trace 0x560def959cd0 [000000000046254d] 
Trace 0x560def959f10 [0000000000462610] 
Trace 0x560def959fb0 [0000000000462636] 
Trace 0x560def95a060 [000000000043821d] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def95a0c0 [0000000000438235] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def95a170 [0000000000438255] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def95a220 [0000000000438275] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def95a2d0 [0000000000419881] 
Trace 0x560def95a490 [00000000004198ca] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def95a500 [0000000000438295] 
Trace 0x560def95a590 [00000000004382aa] 
Trace 0x560def95a660 [000000000043830b] 
Trace 0x560def95a6f0 [0000000000438320] 
Trace 0x560def9579a0 [0000000000407750] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def957cc0 [0000000000407766] 
Trace 0x560def95a740 [000000000043832a] 
Trace 0x560def95a7c0 [000000000043837b] 
Trace 0x560def95a850 [0000000000438393] 
Trace 0x560def95a8e0 [000000000043839f] 
Trace 0x560def95a970 [00000000004383ab] 
Trace 0x560def95aa00 [00000000004383b7] 
Trace 0x560def95aa60 [00000000004383d4] 
Trace 0x560def95aaf0 [00000000004383c0] 
Trace 0x560def95aa60 [00000000004383d4] 
Trace 0x560def95abb0 [0000000000438520] 
Trace 0x560def95ac70 [0000000000438b38] 
Trace 0x560def95acd0 [0000000000437310] 
Trace 0x560def95ad80 [000000000043731e] 
Trace 0x560def95ae10 [0000000000437326] 
Trace 0x560def95ae70 [0000000000459ca0] 
Trace 0x560def95af90 [0000000000459cc5] 
Trace 0x560def95b0d0 [0000000000459ce6] 
Trace 0x560def95b160 [0000000000459eb0] 
Trace 0x560def95b1b0 [0000000000437333] 
Trace 0x560def95b270 [0000000000438b45] 
Trace 0x560def95b2e0 [0000000000444cc0] 
Trace 0x560def95b420 [00000000004015e2] 
Trace 0x560def95b4a0 [00000000004015e7] 
Trace 0x560def95b510 [0000000000407b20] 
Trace 0x560def95b5b0 [0000000000407970] 
Trace 0x560def95b690 [0000000000407999] 
Trace 0x560def95b790 [00000000004079a6] 
Trace 0x560def95b820 [00000000004079b2] 
Trace 0x560def95b8b0 [0000000000407a07] 
Trace 0x560def95b940 [0000000000407a84] 
Trace 0x560def95b9a0 [0000000000407a42] 
Trace 0x560def95ba60 [0000000000407a69] 
Trace 0x560def95bb10 [0000000000407a75] 
Trace 0x560def95bba0 [0000000000407b37] 
Trace 0x560def95bc20 [0000000000407b3c] 
Trace 0x560def95bd30 [00000000004015f3] 
Trace 0x560def95bdb0 [0000000000401601] 
Trace 0x560def95be30 [0000000000401606] 
Trace 0x560def95bea0 [0000000000401b00] 
Trace 0x560def95bfc0 [0000000000401b48] 
Trace 0x560def95c040 [00000000004002b0] 
Trace 0x560def95c0e0 [00000000004002c5] 
Trace 0x560def95c140 [0000000000401b60] 
Trace 0x560def95c1c0 [0000000000401b65] 
Trace 0x560def95c230 [0000000000401030] 
Trace 0x560def95c2d0 [000000000040103e] 
Trace 0x560def95c330 [0000000000491330] 
Trace 0x560def95c3b0 [0000000000491335] 
Trace 0x560def95c430 [0000000000491340] 
Trace 0x560def95c510 [00000000004913a8] 
Trace 0x560def95c570 [000000000040104d] 
Trace 0x560def95c600 [0000000000401058] 
Trace 0x560def95c650 [0000000000400fc0] 
Trace 0x560def95c700 [0000000000400ff8] 
Trace 0x560def95c750 [0000000000401b77] 
Trace 0x560def95c7e0 [0000000000401b68] 
Trace 0x560def95c850 [0000000000400cf0] 
Trace 0x560def95c910 [0000000000400cfe] 
Trace 0x560def95c9a0 [0000000000400d03] 
Trace 0x560def95ca30 [0000000000400e21] 
Trace 0x560def95ca80 [0000000000433450] 
Trace 0x560def95cb50 [0000000000433460] 
Trace 0x560def95cc10 [0000000000433475] 
Trace 0x560def95ccd0 [0000000000433481] 
Trace 0x560def95cd70 [0000000000433490] 
Trace 0x560def95cdb0 [00000000004334e8] 
Trace 0x560def95ce20 [0000000000400e2b] 
Trace 0x560def95ca80 [0000000000433450] 
Trace 0x560def95ce80 [00000000004334c0] 
Trace 0x560def95cf10 [00000000004334c7] 
Trace 0x560def95cf80 [0000000000400e38] 
Trace 0x560def95ca80 [0000000000433450] 
Trace 0x560def95cfe0 [0000000000433530] 
Trace 0x560def95d070 [00000000004334a2] 
Trace 0x560def95d0c0 [0000000000400e45] 
Trace 0x560def95d190 [0000000000400e7f] 
Trace 0x560def95d230 [0000000000400e8b] 
Trace 0x560def95d2e0 [0000000000400ecb] 
Trace 0x560def95d360 [0000000000400da9] 
Trace 0x560def95d400 [0000000000400dae] 
Trace 0x560def95d510 [0000000000400de3] 
Trace 0x560def95c750 [0000000000401b77] 
Trace 0x560def95d600 [0000000000401b80] 
Trace 0x560def95d690 [0000000000401619] 
Trace 0x560def95d6e0 [0000000000406de0] 
Trace 0x560def95d720 [0000000000444d40] 
Trace 0x560def95d8f0 [0000000000444da0] 
Trace 0x560def95d990 [0000000000444dbf] 
Trace 0x560def95da00 [0000000000401623] 
Trace 0x560def95da80 [000000000040162b] 
Trace 0x560def95db40 [0000000000401422] 
Trace 0x560def95dc20 [0000000000401457] 
Trace 0x560def95dca0 [00000000004010dd] 
Trace 0x560def957a70 [0000000000419840] 
Trace 0x560def95dd40 [00000000004010f5] 
Trace 0x560def95ddd0 [0000000000401105] 
Trace 0x560def95de20 [000000000040117f] 
Trace 0x560def95dec0 [000000000040110e] 
Trace 0x560def95df60 [0000000000401114] 
Trace 0x560def95e020 [0000000000401132] 
Trace 0x560def95e0a0 [0000000000401173] 
Trace 0x560def95e140 [000000000040113d] 
Trace 0x560def95e210 [0000000000401151] 
Trace 0x560def95e2e0 [000000000040116f] 
Trace 0x560def95e140 [000000000040113d] 
Trace 0x560def95e3a0 [000000000040117b] 
Trace 0x560def95dec0 [000000000040110e] 
Trace 0x560def95e020 [0000000000401132] 
Trace 0x560def95e460 [0000000000401185] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e580 [0000000000401196] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e620 [00000000004011ae] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e6c0 [00000000004011c6] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e760 [00000000004011de] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e800 [00000000004011f6] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e8a0 [000000000040120e] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e940 [0000000000401226] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95e9e0 [000000000040123e] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95ea80 [0000000000401256] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95eb20 [000000000040126e] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95ebc0 [0000000000401286] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95ec60 [000000000040129e] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95ed00 [00000000004012b6] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95eda0 [00000000004012ce] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95ee40 [00000000004012e6] 
Trace 0x560def95e4d0 [00000000004010cb] 
Trace 0x560def95eee0 [00000000004012fe] 
Trace 0x560def95f190 [00000000004013a8] 
Trace 0x560def95f230 [0000000000401381] 
Trace 0x560def95f2e0 [000000000040138f] 
Trace 0x560def95f390 [00000000004013a4] 
Trace 0x560def95f230 [0000000000401381] 
Trace 0x560def95f450 [00000000004013ae] 
Trace 0x560def95f4f0 [00000000004013b6] 
Trace 0x560def95f530 [0000000000401420] 
